TIME,A Flex/Ext,Knee Int/Ext R,A I/E
0.248491,16.847397,-3.698139,-18.536308
0.249491,16.847397,-3.698139,-18.402226
0.250491,16.847397,-3.711363,-18.357533
0.251491,16.857823,-3.73781,-18.312839
0.252491,16.868249,-3.757645,-18.268145
0.253491,16.878675,-3.770868,-18.268145
0.254491,16.889101,-3.77748,-18.268145
0.255491,16.899527,-3.790703,-18.268145
0.256491,16.909953,-3.803927,-18.223451
0.257491,16.909953,-3.823762,-18.223451
0.258491,16.909953,-3.863433,-18.178757
0.259491,16.889101,-3.896491,-18.08937
0.260491,16.868249,-3.92955,-17.999982
0.261491,16.847397,-3.962608,-17.910595
0.262491,16.857823,-4.002279,-17.776513
0.263491,16.868249,-4.028726,-17.687126
0.264491,16.878675,-4.055173,-17.597738
0.265491,16.889101,-4.08162,-17.463656
0.266491,16.899527,-4.108067,-17.418963
0.267491,16.909953,-4.12129,-17.329575
0.268491,16.92038,-4.127902,-17.240187
0.269491,16.930806,-4.134513,-17.1508
0.270491,16.941232,-4.154349,-16.972025
0.271491,16.951658,-4.187407,-16.748556
0.272491,16.962084,-4.207242,-16.525087
0.273491,16.97251,-4.227078,-16.391005
0.274491,16.97251,-4.240301,-16.256924
0.275491,16.982936,-4.233689,-16.167536
0.276491,17.003788,-4.220466,-16.078149
0.277491,17.02464,-4.207242,-15.944067
0.278491,17.055919,-4.194019,-15.765292
0.279491,17.055919,-4.180796,-15.631211
0.280491,17.055919,-4.16096,-15.541823
0.281491,17.055919,-4.141125,-15.407742
0.282491,17.066345,-4.108067,-15.318354
0.283491,17.076771,-4.075008,-15.184273
0.284491,17.087197,-4.041949,-15.005497
0.285491,17.108049,-4.002279,-14.826722
0.286491,17.128901,-3.96922,-14.692641
0.287491,17.149753,-3.922938,-14.603253
0.288491,17.170605,-3.870044,-14.603253
0.289491,17.191458,-3.823762,-14.603253
0.290491,17.21231,-3.77748,-14.513866
0.291491,17.243588,-3.744421,-14.424478
0.292491,17.254014,-3.724586,-14.33509
0.293491,17.274866,-3.711363,-14.201009
0.294491,17.306144,-3.704751,-14.111621
0.295491,17.316571,-3.704751,-14.111621
0.296491,17.337423,-3.704751,-14.156315
0.297491,17.358275,-3.704751,-14.111621
0.298491,17.379127,-3.704751,-14.156315
0.299491,17.389553,-3.711363,-14.201009
0.300491,17.399979,-3.711363,-14.201009
0.301491,17.420831,-3.724586,-14.290396
0.302491,17.431257,-3.744421,-14.424478
0.303491,17.441683,-3.751033,-14.469172
0.304491,17.45211,-3.770868,-14.558559
0.305491,17.462536,-3.790703,-14.558559
0.306491,17.472962,-3.810539,-14.603253
0.307491,17.483388,-3.830374,-14.737335
0.308491,17.493814,-3.836986,-14.91611
0.309491,17.514666,-3.836986,-15.094885
0.310491,17.514666,-3.836986,-15.318354
0.311491,17.493814,-3.830374,-15.541823
0.312491,17.483388,-3.803927,-15.675904
0.313491,17.472962,-3.77748,-15.765292
0.314491,17.462536,-3.764257,-15.899373
0.315491,17.45211,-3.751033,-15.988761
0.316491,17.431257,-3.73781,-16.078149
0.317491,17.410405,-3.744421,-16.256924
0.318491,17.368701,-3.73781,-16.346311
0.319491,17.316571,-3.731198,-16.391005
0.320491,17.254014,-3.731198,-16.525087
0.321491,17.191458,-3.724586,-16.56978
0.322491,17.128901,-3.717974,-16.703862
0.323491,17.066345,-3.711363,-16.793249
0.324491,17.003788,-3.704751,-16.793249
0.325491,16.941232,-3.711363,-16.703862
0.326491,16.878675,-3.717974,-16.659168
0.327491,16.826545,-3.724586,-16.659168
0.328491,16.78484,-3.724586,-16.703862
0.329491,16.743136,-3.73781,-16.793249
0.330491,16.701432,-3.751033,-16.837943
0.331491,16.670154,-3.757645,-16.927331
0.332491,16.638875,-3.764257,-16.972025
0.333491,16.618023,-3.77748,-17.061412
0.334491,16.586745,-3.770868,-17.106106
0.335491,16.555467,-3.77748,-17.240187
0.336491,16.534615,-3.77748,-17.329575
0.337491,16.534615,-3.77748,-17.329575
0.338491,16.534615,-3.77748,-17.374269
0.339491,16.545041,-3.77748,-17.374269
