Tiempo	Ankle Flex/Ext	Knee Int/Ext R.	Inversion/Eversion
0.232299	13.604382	1.729195	-100.446837
0.233299	13.591743	1.781553	-100.475064
0.234299	13.579103	1.860089	-100.497019
0.235299	13.566464	1.912447	-100.518973
0.236299	13.579103	1.964804	-100.532564
0.237299	13.591743	2.034614	-100.538314
0.238299	13.604382	2.095698	-100.557133
0.239299	13.617022	2.130603	-100.575951
0.240299	13.629661	2.156782	-100.598951
0.241299	13.642301	2.182961	-100.625610
0.242299	13.654940	2.217866	-100.653837
0.243299	13.654940	2.226592	-100.676837
0.244299	13.680219	2.209139	-100.695133
0.245299	13.705498	2.182961	-100.713428
0.246299	13.718138	2.148055	-100.731201
0.247299	13.743417	2.113150	-100.751065
0.248299	13.756056	2.078245	-100.771451
0.249299	13.768695	2.043340	-100.790270
0.250299	13.781335	2.017162	-100.804383
0.251299	13.781335	1.973530	-100.813792
0.252299	13.768695	1.938625	-100.823724
0.253299	13.730777	1.894994	-100.839406
0.254299	13.680219	1.851363	-100.859270
0.255299	13.617022	1.825184	-100.868679
0.256299	13.553824	1.807731	-100.877565
0.257299	13.490627	1.781553	-100.880702
0.258299	13.427429	1.746648	-100.877043
0.259299	13.364232	1.703016	-100.868156
0.260299	13.326314	1.685564	-100.861361
0.261299	13.275756	1.685564	-100.855088
0.262299	13.225198	1.668111	-100.847770
0.263299	13.199919	1.641933	-100.844111
0.264299	13.162000	1.607028	-100.839929
0.265299	13.111442	1.572123	-100.831042
0.266299	13.060884	1.554670	-100.816406
0.267299	13.010326	1.545944	-100.802292
0.268299	12.985047	1.528491	-100.798633
0.269299	12.985047	1.511039	-100.796542
0.270299	13.010326	1.511039	-100.791315
0.271299	13.060884	1.519765	-100.784520
0.272299	13.124082	1.519765	-100.780861
0.273299	13.187279	1.519765	-100.778770
0.274299	13.237837	1.528491	-100.785042
0.275299	13.288395	1.554670	-100.793929
0.276299	13.338953	1.572123	-100.806997
0.277299	13.376871	1.580849	-100.819542
0.278299	13.402150	1.572123	-100.832088
0.279299	13.427429	1.589575	-100.839929
0.280299	13.440069	1.624480	-100.844111
0.281299	13.452708	1.676838	-100.844111
0.282299	13.490627	1.737921	-100.848293
0.283299	13.528545	1.764100	-100.853520
0.284299	13.553824	1.781553	-100.859793
0.285299	13.553824	1.807731	-100.853520
0.286299	13.541185	1.833910	-100.838883
0.287299	13.515906	1.860089	-100.822156
0.288299	13.465348	1.877542	-100.805952
0.289299	13.427429	1.894994	-100.783997
0.290299	13.389511	1.921173	-100.757338
0.291299	13.389511	1.956078	-100.720224
0.292299	13.389511	1.982257	-100.685201
0.293299	13.389511	2.017162	-100.654883
0.294299	13.389511	2.043340	-100.624565
0.295299	13.402150	2.069519	-100.596337
0.296299	13.402150	2.078245	-100.577519
0.297299	13.402150	2.069519	-100.559746
0.298299	13.402150	2.052067	-100.546155
0.299299	13.389511	2.017162	-100.530473
0.300299	13.376871	1.999709	-100.519496
0.301299	13.389511	1.990983	-100.504860
0.302299	13.414790	1.973530	-100.499110
0.303299	13.427429	1.956078	-100.495973
0.304299	13.440069	1.921173	-100.497541
0.305299	13.477987	1.886268	-100.500678
0.306299	13.503266	1.851363	-100.513746
0.307299	13.528545	1.799005	-100.530996
0.308299	13.515906	1.729195	-100.562883
0.309299	13.490627	1.659385	-100.597905
0.310299	13.477987	1.589575	-100.630837
0.311299	13.465348	1.528491	-100.669519
0.312299	13.465348	1.484860	-100.710815
0.313299	13.490627	1.467407	-100.748451
0.314299	13.515906	1.458681	-100.786088
0.315299	13.541185	1.449955	-100.823724
0.316299	13.566464	1.441229	-100.867111
0.317299	13.591743	1.423776	-100.905793
0.318299	13.604382	1.388871	-100.946043
0.319299	13.629661	1.362692	-100.981066
0.320299	13.667580	1.327787	-101.023407
0.321299	13.705498	1.301609	-101.056339
0.322299	13.730777	1.275430	-101.084043
0.323299	13.743417	1.249251	-101.105475
0.324299	13.756056	1.231798	-101.125862
0.325299	13.781335	1.231798	-101.131612
0.326299	13.819253	1.240525	-101.125339
0.327299	13.819253	1.249251	-101.114884
0.328299	13.806614	1.257977	-101.095021
0.329299	13.781335	1.257977	-101.067316
0.330299	13.743417	1.231798	-101.039089
0.331299	13.705498	1.214346	-101.009293
0.332299	13.667580	1.196893	-100.976884
0.333299	13.617022	1.196893	-100.937679
0.334299	13.566464	1.214346	-100.906838
0.335299	13.515906	1.231798	-100.875997
0.336299	13.440069	1.257977	-100.844633
0.337299	13.364232	1.292882	-100.809611
0.338299	13.275756	1.319061	-100.786611
0.339299	13.187279	1.336514	-100.770929
0.340299	13.124082	1.353966	-100.755770
0.341299	13.060884	1.371419	-100.736429
0.342299	12.997687	1.380145	-100.721269
0.343299	12.947129	1.362692	-100.720224
0.344299	12.934490	1.353966	-100.720747
0.345299	12.947129	1.353966	-100.723360
0.346299	12.959769	1.353966	-100.727542
0.347299	12.972408	1.353966	-100.727019
0.348299	12.985047	1.345240	-100.725451
0.349299	12.997687	1.336514	-100.722315
0.350299	13.035605	1.327787	-100.718656
0.351299	13.073524	1.319061	-100.702974
0.352299	13.111442	1.327787	-100.685201
0.353299	13.174640	1.327787	-100.668997
0.354299	13.250477	1.336514	-100.650178
0.355299	13.351593	1.371419	-100.622474
0.356299	13.452708	1.423776	-100.585883
0.357299	13.541185	1.476134	-100.550337
0.358299	13.629661	1.519765	-100.520542
0.359299	13.718138	1.572123	-100.492314
0.360299	13.781335	1.650659	-100.454155
0.361299	13.831893	1.711743	-100.418087
0.362299	13.857172	1.764100	-100.387246
