TIME,A Flex/Ext,Knee Int/Ext R,A I/E
0.343084,20.600785,-1.972478,-13.173051
0.344084,20.579933,-1.939419,-13.307133
0.345084,20.559081,-1.919584,-13.441214
0.346084,20.538229,-1.90636,-13.619989
0.347084,20.496525,-1.893137,-13.664683
0.348084,20.45482,-1.879913,-13.709377
0.349084,20.413116,-1.853466,-13.664683
0.350084,20.35056,-1.827019,-13.619989
0.351084,20.329707,-1.800573,-13.575296
0.352084,20.308855,-1.793961,-13.485908
0.353084,20.267151,-1.787349,-13.39652
0.354084,20.225447,-1.800573,-13.351827
0.355084,20.183742,-1.807184,-13.307133
0.356084,20.142038,-1.833631,-13.173051
0.357084,20.100334,-1.860078,-13.03897
0.358084,20.058629,-1.879913,-12.860195
0.359084,20.027351,-1.90636,-12.68142
0.360084,20.006499,-1.926195,-12.502644
0.361084,19.985647,-1.946031,-12.234482
0.362084,19.954369,-1.965866,-11.966319
0.363084,19.92309,-1.992313,-11.698156
0.364084,19.902238,-2.01876,-11.564075
0.365084,19.881386,-2.045207,-11.429993
0.366084,19.860534,-2.084877,-11.340606
0.367084,19.860534,-2.117936,-11.295912
0.368084,19.850108,-2.150994,-11.251218
0.369084,19.839682,-2.177441,-11.295912
0.370084,19.860534,-2.203888,-11.295912
0.371084,19.881386,-2.2105,-11.295912
0.372084,19.902238,-2.217112,-11.340606
0.373084,19.92309,-2.217112,-11.429993
0.374084,19.943942,-2.217112,-11.519381
0.375084,19.964795,-2.217112,-11.608768
0.376084,19.985647,-2.217112,-11.74285
0.377084,20.006499,-2.223723,-11.832237
0.378084,20.027351,-2.230335,-11.966319
0.379084,20.048203,-2.223723,-12.145094
0.380084,20.069055,-2.197276,-12.323869
0.381084,20.089908,-2.170829,-12.457951
0.382084,20.11076,-2.144383,-12.592032
0.383084,20.131612,-2.104712,-12.726113
0.384084,20.142038,-2.071654,-12.770807
0.385084,20.152464,-2.038595,-12.770807
0.386084,20.173316,-2.005536,-12.68142
0.387084,20.152464,-1.972478,-12.636726
0.388084,20.142038,-1.939419,-12.592032
0.389084,20.131612,-1.90636,-12.457951
0.390084,20.121186,-1.873302,-12.323869
0.391084,20.11076,-1.846855,-12.189788
0.392084,20.100334,-1.820408,-12.011013
0.393084,20.089908,-1.793961,-11.787544
0.394084,20.079481,-1.774126,-11.653462
0.395084,20.069055,-1.75429,-11.519381
0.396084,20.079481,-1.734455,-11.251218
0.397084,20.079481,-1.734455,-11.027749
0.398084,20.079481,-1.734455,-10.80428
0.399084,20.079481,-1.734455,-10.580811
0.400084,20.079481,-1.741067,-10.357342
0.401084,20.069055,-1.747679,-10.178567
0.402084,20.058629,-1.747679,-10.089179
0.403084,20.037777,-1.747679,-10.089179
0.404084,20.048203,-1.747679,-10.044485
0.405084,20.037777,-1.760902,-9.999791
0.406084,20.027351,-1.774126,-10.044485
0.407084,20.027351,-1.787349,-10.089179
0.408084,20.027351,-1.793961,-10.133873
0.409084,20.027351,-1.800573,-10.267954
0.410084,20.027351,-1.800573,-10.357342
0.411084,20.027351,-1.787349,-10.402036
0.412084,20.027351,-1.774126,-10.402036
0.413084,20.016925,-1.774126,-10.536117
0.414084,20.027351,-1.767514,-10.580811
0.415084,20.037777,-1.760902,-10.625505
0.416084,20.058629,-1.75429,-10.670198
0.417084,20.079481,-1.747679,-10.670198
0.418084,20.11076,-1.734455,-10.625505
0.419084,20.152464,-1.734455,-10.491423
0.420084,20.183742,-1.734455,-10.357342
